measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,85,State of Israel,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,4059.9378350639336,5031.167078425759,3236.365152467747
1,Deaths,88,Republic of Malta,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,377.0384390453014,478.1316287594076,293.12459730892385
1,Deaths,90,Kingdom of Norway,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,3280.145327689964,4083.005328002696,2620.993336000055
1,Deaths,86,Republic of Italy,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,59601.136312929055,73197.48870017812,47873.307391570335
1,Deaths,92,Kingdom of Spain,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,49509.70739442652,58723.095661750966,41044.446977685024
1,Deaths,91,Portuguese Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,8799.327245131497,10374.678158787328,7307.00019882308
1,Deaths,95,United Kingdom of Great Britain and Northern Ireland,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,80941.84556802074,97806.94823012478,67233.77092635482
1,Deaths,93,Kingdom of Sweden,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,8694.438581113998,10545.409907730444,6912.440061110358
1,Deaths,94,Swiss Confederation,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,6891.356061962382,8584.260914002329,5595.595737053991
1,Deaths,98,Republic of Chile,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,9427.666107385749,11344.621740555214,7601.720055455249
1,Deaths,97,Argentine Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,34205.16208716373,42007.9653615141,27428.034192415915
1,Deaths,101,Canada,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,39520.14185543581,48929.042315352766,31742.02388978717
1,Deaths,99,Eastern Republic of Uruguay,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,4037.741340797447,4807.391669818651,3301.115589855005
1,Deaths,106,Commonwealth of the Bahamas,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,144.2028326802981,193.6776962830688,104.81672438857952
1,Deaths,102,United States of America,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,358821.05951739784,427445.85790235386,299064.94680348213
1,Deaths,109,Republic of Cuba,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,19429.54719527347,25006.14330598429,14953.73284464111
1,Deaths,107,Barbados,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,132.2882490589439,180.9643955257876,97.03239640221244
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,37.95654903096181,53.75610263594558,27.983431387656005
1,Deaths,112,Grenada,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,57.04509990080805,76.07661171969843,42.18193540385496
1,Deaths,110,Commonwealth of Dominica,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,46.109326813963136,60.30318448239324,34.62132866295497
1,Deaths,108,Belize,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,140.55972349659783,179.9915511072356,105.76658797122988
1,Deaths,111,Dominican Republic,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,5582.415757762566,6910.973721341749,4348.40109364494
1,Deaths,113,Republic of Guyana,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,443.76004475035467,580.8597487937877,336.5550356663455
1,Deaths,115,Jamaica,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,1269.700227778959,1635.4191631353915,1005.4332632213534
1,Deaths,117,Saint Vincent and the Grenadines,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,57.40587449256248,75.67325111164129,43.37516693639076
1,Deaths,114,Republic of Haiti,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2023,4858.335356425683,6501.47605965385,3529.0367871157555
