ctry,iso3,sex_group,value
Kiribati,KIR,female,22867.5
Marshall Islands,MHL,female,6522
Micronesia (Fed. States of),FSM,female,17560.5
Nauru,NRU,female,2199
Northern Mariana Islands,MNP,female,4819.5
Palau,PLW,female,1572
American Samoa,ASM,female,6493.5
Cook Islands,COK,female,1696.5
French Polynesia,PYF,female,26825
Niue,NIU,female,215
Samoa,WSM,female,40707
Tokelau,TKL,female,323.5
Tonga,TON,female,18005.5
Tuvalu,TUV,female,1513
Wallis and Futuna Islands,WLF,female,1178
Burundi,BDI,male,3122490.5
Comoros,COM,male,161337
Djibouti,DJI,male,172475.5
Eritrea,ERI,male,677703
Ethiopia,ETH,male,25814543.5
Kenya,KEN,male,10431069.5
Madagascar,MDG,male,6253129.5
Malawi,MWI,male,4357784
Mauritius,MUS,male,94956
Mayotte,MYT,male,68505
Mozambique,MOZ,male,7557379.5
Réunion,REU,male,93676
Rwanda,RWA,male,2645488
Seychelles,SYC,male,13159
Somalia,SOM,male,4347565
South Sudan,SSD,male,2314279.5
Uganda,UGA,male,10769339
United Republic of Tanzania,TZA,male,14367805
Zambia,ZMB,male,4346172.5
Zimbabwe,ZWE,male,3398135.5
Angola,AGO,male,8232451.999999999
Cameroon,CMR,male,5968169.5
Central African Republic,CAF,male,1276926.5
Chad,TCD,male,4576897.5
Congo,COG,male,1274989
Democratic Republic of the Congo,COD,male,24429256.5
Equatorial Guinea,GNQ,male,349134
Gabon,GAB,male,458007
Sao Tome and Principe,STP,male,44437
Algeria,DZA,male,7218858.5
Egypt,EGY,male,19018869.5
Libya,LBY,male,1048574.0000000001
Morocco,MAR,male,5032053.5
Sudan,SDN,male,10307452.5
Tunisia,TUN,male,1534722.5
Western Sahara,ESH,male,69106
Botswana,BWA,male,403108.5
Eswatini,SWZ,male,208134.5
Lesotho,LSO,male,405808.5
Namibia,NAM,male,549974.5
South Africa,ZAF,male,8277850
Benin,BEN,male,2991927
Burkina Faso,BFA,male,4957142.5
Cabo Verde,CPV,male,70810.5
Côte d'Ivoire,CIV,male,6509759
Gambia,GMB,male,555027
Ghana,GHA,male,6187036
Guinea,GIN,male,3013263
Guinea-Bissau,GNB,male,427757.5
Liberia,LBR,male,1112204
Mali,MLI,male,5583003.5
Mauritania,MRT,male,1094069
Niger,NER,male,6244598.5
Nigeria,NGA,male,47954288
Saint Helena,SHN,male,380.5
Senegal,SEN,male,3628342
Sierra Leone,SLE,male,1641925.5
Togo,TGO,male,1872931.5
Kazakhstan,KAZ,male,3066273.5
Kyrgyzstan,KGZ,male,1187007
Tajikistan,TJK,male,1914669
Turkmenistan,TKM,male,1191356.5
Uzbekistan,UZB,male,5701154.5
China,CHN,male,126061581.5
"China, Hong Kong SAR",HKG,male,405092
"China, Macao SAR",MAC,male,51526.5
"China, Taiwan Province of China",TWN,male,1444279
Dem. People's Republic of Korea,PRK,male,2572943
Japan,JPN,male,7439843.5
Mongolia,MNG,male,576253.5
Republic of Korea,KOR,male,2914614
Afghanistan,AFG,male,9164057
Bangladesh,BGD,male,25134853
Bhutan,BTN,male,87620.5
India,IND,male,187882029
Iran (Islamic Republic of),IRN,male,10636349.5
Maldives,MDV,male,56230
Nepal,NPL,male,4396179
Pakistan,PAK,male,46883105
Sri Lanka,LKA,male,2615977.5
Brunei Darussalam,BRN,male,50129.5
Cambodia,KHM,male,2679088.5
Indonesia,IDN,male,35979229
Lao People's Democratic Republic,LAO,male,1193956.5
Malaysia,MYS,male,4043127
Myanmar,MMR,male,6812212.5
Philippines,PHL,male,16752190.999999998
Singapore,SGP,male,349782
Thailand,THA,male,5569461
Timor-Leste,TLS,male,240863.5
Viet Nam,VNM,male,12206338.5
Armenia,ARM,male,298614
Azerbaijan,AZE,male,1213446
Bahrain,BHR,male,151986.5
Cyprus,CYP,male,111228.5
Georgia,GEO,male,413029.5
Iraq,IRQ,male,8568862
Israel,ISR,male,1311273
Jordan,JOR,male,1818629.5
Kuwait,KWT,male,460380.5
Lebanon,LBN,male,791272.5
Oman,OMN,male,649111.5
Qatar,QAT,male,232092
Saudi Arabia,SAU,male,4089313.5
State of Palestine,PSE,male,1056669
Syrian Arab Republic,SYR,male,3663414
Türkiye,TUR,male,9707787
United Arab Emirates,ARE,male,881569.5
Yemen,YEM,male,8317474.5
Belarus,BLR,male,782312.5
Bulgaria,BGR,male,507496
Czechia,CZE,male,867119
Hungary,HUN,male,720682.5
Poland,POL,male,3004379.5
